Malicious,srcIP,destIP,destPt,protocol,startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,10.0.2.15,217.31.54.24,443,tcp,10450.82067,2,3087.5,161.25,15,3,57.2484875,27.36116475,14.030872,0,871,166.5,15,3,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,23.74.196.84,443,tcp,8799.429541,1,111651,0,115,0,134.823797,0,0,0,660,0,44,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
0,10.0.2.15,52.2.190.246,443,tcp,4344.034608,1,5382,0,18,0,63.84369,0,0,0,696,0,16,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,104.16.149.224,443,tcp,7114.586503,1,3862,0,12,0,8.334654,0,0,0,532,0,12,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,54.192.95.240,443,tcp,2354.937527,16,2530.5,2615.145803,12.4375,5.498583968,34.92876663,32.09336323,785.8604985,1125.065184,647.3125,138.4307832,11.6875,4.194485809,16,0,16,16,0,0,0,1,16,0,16,0,16,16,16,0,0,1,0,0
0,10.0.2.15,34.249.204.116,80,tcp,12167.03266,2,5144.5,2572.25,20.5,8.75,134.535674,63.483784,9.10E-05,0,567.5,283.75,19.5,7.75,2,0,1,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,0
0,10.0.2.15,93.184.220.43,443,tcp,7433.020575,2,199346,572.5,198.5,0.25,183.9233995,0.64412825,0.30863,0,922.5,20.75,69,0,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,52.72.85.13,80,tcp,9867.38112,1,1019,0,22,0,140.489916,0,0,0,998,0,21,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,95.101.31.195,443,tcp,8369.725514,4,6697,3408.875,36,11.58333333,126.8123043,44.8771356,1073.373548,1504.68697,10010,5336.75,34,11.33333333,4,0,4,4,0,0,0,3,4,0,4,0,4,4,4,0,0,3,0,0
0,10.0.2.15,104.123.232.112,443,tcp,226.284745,1,3962,0,26,0,125.846286,0,0,0,662,0,25,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
0,10.0.2.15,50.16.206.226,443,tcp,4039.986334,3,2412.666667,664.8888889,13.66666667,1.388888889,25.34500867,16.57491772,46.0910615,46.0903105,1304,403,12.33333333,0.944444444,3,0,3,3,0,0,0,2,3,0,3,0,3,3,3,0,0,2,0,0
0,10.0.2.15,216.137.61.254,443,tcp,13213.53471,4,12613.25,129.2291667,30,0.375,126.4824188,0.000870771,0.000514667,5.19E-05,697,0,22.75,0.270833333,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,198.185.19.210,80,tcp,6033.880839,1,714,0,6,0,1.511002,0,0,0,2099,0,7,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,104.16.27.235,443,tcp,7773.285871,2,4782.5,24.25,26.5,0.25,182.8517805,21.72875625,5796.389944,0,1608.5,458.25,25,0,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,129.152.38.64,443,tcp,5540.445064,4,3848.25,2852.770833,14.75,5.5625,12.23365775,4.806695896,32.022344,24.97539887,509.5,194.5416667,12.25,3.604166667,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,185.33.220.26,80,tcp,7507.940076,13,5022.461538,3038.887473,20.92307692,2.032125353,104.3660049,23.93239613,366.7645402,1213.35999,5433.769231,1179.163253,19.69230769,1.005608921,13,0,13,13,0,0,0,0,13,0,13,0,13,13,13,0,0,0,0,0
0,10.0.2.15,104.27.119.109,80,tcp,13108.12105,3,4344.666667,177.8888889,20.66666667,0.222222222,126.4456203,0.001006389,0.0019105,0.0004835,655,2.666666667,19.33333333,0.222222222,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,50.16.218.25,80,tcp,14049.33444,6,576,0,22.33333333,0.575,159.419161,6.381969636,0.0010198,0.000898812,2133.166667,320.4472222,22.5,0.308333333,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
0,10.0.2.15,54.152.196.22,80,tcp,10209.62394,1,1292,0,17,0,121.784299,0,0,0,1105,0,18,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,52.22.9.171,80,tcp,2228.676075,4,264,198,8.5,4.125,35.839812,20.41268488,0.590436,0.50479204,1224.25,918.1875,9,3.458333333,4,0,1,4,0,0,0,0,4,0,4,0,1,4,4,0,0,0,0,0
0,10.0.2.15,95.101.246.111,80,tcp,1607.715879,84,16209.88095,19362.96107,26.97619048,22.91752217,79.06167414,61.0041397,149.6795679,362.2164527,914.4761905,804.8274972,18.70238095,12.51817874,83,0,48,83,0,0,0,1,84,0,83,0,48,83,84,0,0,0,0,0
0,10.0.2.15,52.210.249.84,80,tcp,10214.28855,1,796,0,17,0,121.697845,0,0,0,1524,0,18,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,52.17.177.89,80,tcp,319.009217,1,324,0,16,0,120.391501,0,0,0,328,0,17,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,54.225.210.131,443,tcp,7469.533375,1,5687,0,20,0,68.24271,0,0,0,899,0,17,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,199.255.32.4,80,tcp,9375.568702,4,434.25,265.1875,10.25,4.354166667,73.4871065,33.85577846,0.156858,0.212631282,890.25,564.9375,11.25,4.354166667,4,0,2,4,0,0,0,0,4,0,4,0,2,4,4,0,0,0,0,0
0,10.0.2.15,23.219.91.40,80,tcp,6171.575193,15,32958.4,30123.86125,47.6,38.60846283,33.01414067,24.91487434,6.53618,23.25084471,505.9333333,312.8619939,26.8,19.12038295,15,0,11,14,0,0,0,5,15,0,15,0,11,10,15,0,0,3,0,0
0,10.0.2.15,31.186.247.145,443,tcp,6451.470454,1,2569,0,8,0,7.095962,0,0,0,534,0,8,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,139.219.132.210,80,tcp,407.342284,4,267,178,9.5,4.333333333,63.6263015,37.95229854,232.032639,328.1405393,167,111.3333333,10.5,4.333333333,4,0,2,4,0,0,0,0,4,0,4,0,2,4,4,0,0,0,0,0
0,10.0.2.15,54.192.93.68,80,tcp,6011.079442,4,71771.25,39778.60417,81.25,37.52083333,130.0528978,6.461921229,0.009895333,0.010180856,719,265.4583333,40.5,13.375,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,23.23.153.147,443,tcp,11086.16452,2,4393.5,117.25,12,0.5,8.208871,1.8069565,0.020456,0,642,144.5,11.5,0.25,2,0,2,1,0,0,0,2,2,0,2,0,2,1,2,0,0,2,0,0
0,10.0.2.15,104.155.94.88,80,tcp,8610.503517,6,434.5,110.5555556,14.5,2.925,105.861283,25.29731551,316.5117394,352.7756216,428,106.65,15.5,2.925,6,0,5,6,0,0,0,0,6,0,6,0,5,6,6,0,0,0,0,0
0,10.0.2.15,216.137.61.228,80,tcp,7112.422741,3,2008.666667,1149.388889,13.33333333,4.055555556,83.222872,31.34595167,1522.490642,1522.489702,244,113.5,13,3.666666667,3,0,2,3,0,0,0,0,3,0,3,0,2,3,3,0,0,0,0,0
0,10.0.2.15,54.235.221.165,443,tcp,13242.73189,1,4999,0,17,0,39.655867,0,0,0,1781,0,16,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
0,10.0.2.15,93.184.220.141,80,tcp,6607.311821,2,7491.5,3745.75,15.5,6.25,65.4458535,27.41778525,0.0051,0,150,75,13,4.5,2,0,1,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,0
0,10.0.2.15,54.230.92.67,443,tcp,7129.211997,3,4184,2685.333333,20.66666667,8.444444444,90.552525,49.55661183,24.9209895,12.2235595,1282.333333,455.5555556,20,7.166666667,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,151.101.113.108,80,tcp,2467.749077,28,19374.10714,29550.16038,26.46428571,35.46518112,41.70653875,39.71746643,359.7156024,567.2431657,723.2142857,855.1547347,15.71428571,16.80289278,24,0,10,24,0,0,0,1,25,0,24,0,10,23,24,0,0,0,0,0
0,10.0.2.15,95.172.94.25,443,tcp,1244.413437,1,3323,0,13,0,5.659972,0,0,0,355,0,11,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
0,10.0.2.15,54.231.121.90,443,tcp,7587.045049,1,3177,0,13,0,7.82197,0,0,0,350,0,11,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
0,10.0.2.15,162.208.117.19,443,tcp,12136.91243,9,4708.444444,285.3920194,12.55555556,1.535626102,12.55008556,4.602999841,263.6854646,681.2021576,931.2222222,314.0050705,11.44444444,1.43686067,9,0,9,9,0,0,0,0,9,0,9,0,9,9,9,0,0,0,0,0
0,10.0.2.15,23.64.15.81,80,tcp,12648.91851,2,151593.5,5900.25,142.5,0.25,125.7366995,0.75464325,0.000522,0,327,0,61.5,0.25,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,216.58.201.74,80,tcp,2047.05589,6,27333,23969.67778,33.5,26.875,70.887974,53.07565663,1860.110911,3664.491039,272.1666667,241,19.16666667,13.475,6,0,2,6,0,0,0,0,6,0,6,0,2,6,6,0,0,0,0,0
0,10.0.2.15,172.227.14.222,443,tcp,7973.345813,12,67986.16667,54616.75471,68.66666667,47.2060576,30.02215825,15.98417917,163.2383059,516.1931505,1141.75,360.3588715,30.41666667,15.84367785,12,0,12,12,0,0,0,5,12,0,12,0,12,12,12,0,0,5,0,1
0,10.0.2.15,23.74.184.241,80,tcp,5470.367656,2,437,0,17,0,121.3304045,0.41740375,4253.354271,0,975.5,329.75,17.5,0.25,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,54.210.134.71,443,tcp,10430.81359,1,3945,0,17,0,63.212848,0,0,0,1076,0,15,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,216.137.61.100,443,tcp,4972.985602,6,27268.66667,5274.277778,47.16666667,8.041666667,40.72794633,26.16143881,0.007841,0.00737323,869,19.16666667,30.83333333,4.588888889,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
0,10.0.2.15,54.192.93.109,80,tcp,12137.49333,4,657,0,16,0,121.3399003,0.001422938,0.004514333,0.001015444,287,0,17,0,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,157.240.3.52,443,tcp,4374.865575,3,141012.6667,66496.61111,121.6666667,52.27777778,95.03268133,37.05893744,1968.268249,1967.165558,1417,424.6666667,52.66666667,18.11111111,3,0,3,3,0,0,0,2,3,0,3,0,3,1,3,0,0,0,0,0
0,10.0.2.15,52.40.169.156,80,tcp,9961.830228,1,1206,0,20,0,136.057198,0,0,0,1300,0,21,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,23.41.214.231,443,tcp,4322.506385,1,21811,0,38,0,129.723422,0,0,0,680,0,28,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
0,10.0.2.15,95.100.185.193,80,tcp,13575.32431,9,18351.55556,14454.54078,28,19.99404762,47.238453,31.57543045,8.223078375,10.38354868,2887.555556,2498.057981,17.33333333,10.87037037,9,0,3,9,0,0,0,0,9,0,9,0,3,9,9,0,0,0,0,0
0,10.0.2.15,54.72.245.168,443,tcp,4026.260445,1,4146,0,22,0,71.565609,0,0,0,3130,0,21,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,95.101.244.223,443,tcp,5509.849965,32,209701.3438,196632.8826,261.03125,232.1011457,125.2996964,68.85560875,30.27912848,124.7630874,2932.09375,2114.226892,117.84375,95.81669785,32,0,32,32,0,0,0,32,32,0,32,0,32,24,32,0,0,26,0,0
0,10.0.2.15,54.192.93.233,80,tcp,7389.076942,3,20460.66667,3071.777778,30,5,83.842707,32.89404517,1179.97687,1161.8098,409,98.83333333,21,3.166666667,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,95.100.180.160,443,tcp,2444.370237,3,22637.33333,7489.944444,42.33333333,12.77777778,98.07435667,33.06614189,5004.173367,4818.81249,704,39.5,29.66666667,8.555555556,3,0,3,3,0,0,0,2,3,0,3,0,3,2,3,0,0,1,0,0
0,10.0.2.15,54.192.93.73,443,tcp,9180.71938,2,20061,7431,32.5,10.75,65.0131715,28.37342575,0.195682,0,503.5,70.25,20,5,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,207.66.212.118,443,tcp,9256.576136,6,168609.6667,115004.6694,160.1666667,98.32777778,25.82658467,2.595005761,0.5619354,1.122461806,2049.166667,563.8694444,55.5,25.90277778,6,0,6,6,0,0,0,0,6,0,6,0,6,6,6,0,0,0,0,0
0,10.0.2.15,216.137.61.162,80,tcp,9849.438283,12,59493.58333,32046.23944,65.66666667,26.75022547,122.598213,1.361182729,0.000549182,0.000154191,416.6666667,84.78761424,31.41666667,7.148737374,12,0,12,12,0,0,0,0,12,0,12,0,12,12,12,0,0,0,0,1
0,10.0.2.15,69.172.216.111,443,tcp,9532.433556,4,3277.75,73.3125,12.5,1.458333333,22.372271,15.83460167,1574.748265,2205.644254,1385,382.6666667,10.75,1.520833333,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,176.34.117.52,443,tcp,4208.298918,1,16543,0,29,0,70.982029,0,0,0,691,0,20,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,64.124.217.61,80,tcp,11754.21308,1,724,0,16,0,120.992528,0,0,0,369,0,17,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,93.184.220.70,443,tcp,7340.655354,3,8403,1677.666667,23.33333333,7.222222222,92.11147967,37.04958494,1580.614579,1482.750757,538,141.1666667,19.33333333,5.555555556,3,0,3,2,0,0,0,3,3,0,3,0,3,2,3,0,0,2,0,0
0,10.0.2.15,104.94.38.70,443,tcp,6137.138096,4,15384.75,5899.979167,39.25,9.1875,153.5844728,19.40279181,1.248908667,1.761757794,1065.5,278.4583333,31.25,4.895833333,4,0,4,4,0,0,0,4,4,0,4,0,4,2,4,0,0,2,0,0
0,10.0.2.15,136.146.208.40,443,tcp,8262.214679,5,11027.6,7321.053333,22.8,7.123333333,52.9269856,33.7385953,0.80652225,0.63079725,632.8,143.0066667,17,5.066666667,5,0,5,5,0,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0
0,10.0.2.15,185.80.37.142,443,tcp,5943.33824,4,4051.5,309.4166667,12.25,0.270833333,7.77344625,1.347428813,1056.479276,1475.895308,3240,74.95833333,10.25,0.270833333,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
0,10.0.2.15,152.163.50.2,443,tcp,7712.979221,2,4582.5,265.25,18,3.5,65.560885,30.641741,3068.065104,0,1394,399,17,3.5,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,176.74.173.230,443,tcp,12418.91999,1,3812,0,10,0,11.035874,0,0,0,398,0,10,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,35.156.171.106,80,tcp,2924.523707,36,330.1111111,243.921185,3.777777778,2.906586886,20.19284194,17.45782289,128.5186692,491.8436867,208.8888889,155.6436584,4.972222222,2.786317526,15,0,15,15,0,0,0,4,36,0,15,0,15,12,15,0,0,2,0,0
0,10.0.2.15,62.161.94.230,443,tcp,262.359219,4,2089.25,1075.979167,10.25,1.520833333,1.1775395,0.510066167,3.854109333,5.150756643,689,132.9583333,8.5,0.958333333,4,0,4,3,0,0,0,1,4,0,4,0,4,3,4,0,0,1,0,0
0,10.0.2.15,23.74.176.75,80,tcp,2556.100037,2,2388,1194,8.5,2.75,22.0414825,5.58005575,1.718221,0,145,72.5,8,1.5,2,0,1,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,0
0,10.0.2.15,151.101.112.64,80,tcp,6666.629932,18,8110.5,15800.89096,14.05555556,21.25772343,23.47709817,23.63870664,18.654593,36.91323003,141.4444444,253.3653753,10.05555556,11.35462647,18,0,2,18,0,0,0,0,18,0,18,0,2,18,18,0,0,0,0,0
0,10.0.2.15,146.20.54.244,443,tcp,9768.901549,3,5936,55,14.66666667,0.555555556,16.456334,0.004503833,0.004866,0.001832,778,0.833333333,12.33333333,0.277777778,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,216.137.61.54,80,tcp,2383.967413,19,472.1052632,553.8007218,4.263157895,1.446519886,10.85595495,6.646394112,658.7115838,2138.358999,207,245.8895901,5.210526316,1.317711022,19,0,6,18,0,0,0,3,19,0,19,0,6,16,19,0,0,0,0,0
0,10.0.2.15,89.145.95.51,443,tcp,8971.37005,3,3670.666667,103.2777778,12,0,12.87523267,1.753010056,94.369293,94.355098,591.3333333,101.2222222,11,0,3,0,3,3,0,0,0,1,3,0,3,0,3,3,3,0,0,1,0,0
0,10.0.2.15,129.152.38.68,443,tcp,5601.741566,3,11969,5306.333333,19.66666667,4.555555556,4.466570667,1.193707722,24.704399,24.691108,647.6666667,123.6111111,12.66666667,1.222222222,3,0,3,2,0,0,0,2,3,0,3,0,3,1,3,0,0,2,0,0
0,10.0.2.15,34.202.144.44,443,tcp,7914.738697,2,5931.5,148.75,24,2.5,67.241957,9.598712,0.625183,0,4506,887.5,22,2,2,0,2,1,0,0,0,2,2,0,2,0,2,1,2,0,0,2,0,0
0,10.0.2.15,23.65.214.16,443,tcp,5548.718678,4,3818.25,2206.6875,19.75,4.770833333,69.6204855,35.6860065,3.661866333,2.867890651,750.5,183.8333333,17.5,4.375,4,0,4,4,0,0,0,4,4,0,4,0,4,4,4,0,0,4,0,0
0,10.0.2.15,104.24.121.52,80,tcp,13803.50252,4,573,314.25,8,3.166666667,46.3284485,23.8660495,21.32850033,28.92662831,241.25,130.1875,8.75,3.0625,4,0,2,3,0,0,0,1,4,0,4,0,2,3,4,0,0,0,0,0
0,10.0.2.15,104.16.24.216,80,tcp,6104.540026,9,0,0,2.555555556,0.627689594,6.945007778,2.071909713,628.5680998,1597.33898,0,0,3.555555556,0.627689594,7,0,0,7,0,0,0,2,9,0,7,0,0,7,9,0,0,0,0,0
0,10.0.2.15,52.17.243.201,443,tcp,8890.819537,1,3542,0,12,0,8.865009,0,0,0,324,0,10,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
0,10.0.2.15,192.0.73.2,443,tcp,3295.135382,12,11145.25,3530.955414,24,3.316594517,46.20229317,46.93035947,419.2227777,1018.486463,884.0833333,64.90516474,18.5,2.933739177,12,0,12,11,0,0,0,1,12,0,12,0,12,12,12,0,0,1,0,0
0,10.0.2.15,104.244.43.144,443,tcp,6540.335163,3,4419,120,13,0.5,7.96638,2.727213333,635.518108,635.516397,651,95.16666667,11,0.5,3,0,3,3,0,0,0,2,3,0,3,0,3,2,3,0,0,1,0,0
0,10.0.2.15,104.16.88.26,443,tcp,8871.772528,4,6239.75,326.5625,19.25,4.395833333,104.1349,55.29999708,832.9920637,301.183772,819.25,185.7708333,17,3.708333333,4,0,4,3,0,0,0,1,4,0,4,0,4,3,4,0,0,0,0,0
0,10.0.2.15,52.218.65.3,443,tcp,9166.091374,2,3229,0,12.5,0.25,7.6138935,0.02584025,2.893747,0,382,0,10,0,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
0,10.0.2.15,23.74.201.92,80,tcp,10639.82678,15,2129.4,1782.196151,12.93333333,8.20496892,72.29513307,50.15717284,192.9947559,671.4837717,621.2,556.8437931,12.8,7.239037629,15,0,8,14,0,0,0,1,15,0,15,0,8,14,15,0,0,0,0,0
0,10.0.2.15,104.196.23.69,80,tcp,13282.08781,2,259.5,129.75,4,0.5,3.7187955,1.43884625,0.831514,0,354,177,4.5,0.25,2,0,1,2,0,0,0,0,2,0,2,0,1,2,2,0,0,0,0,0
0,10.0.2.15,95.100.189.33,443,tcp,6414.758851,5,13060,4293.516667,30.6,7.83,81.6205934,39.18617444,1665.354612,2844.740638,552,107.9166667,23,5.433333333,5,0,5,5,0,0,0,4,5,0,5,0,5,5,5,0,0,4,0,0
0,10.0.2.15,52.28.153.152,443,tcp,2826.687348,12,4239.75,1727.841432,14.66666667,6.983952621,43.44542033,34.62335063,675.3548502,1347.187021,900.4166667,593.0362584,13.58333333,6.117255892,9,0,9,7,0,0,0,5,12,0,9,0,9,7,12,0,0,1,0,0
0,10.0.2.15,95.100.177.177,443,tcp,5287.950148,1,7452,0,26,0,126.459407,0,0,0,735,0,24,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,54.192.93.18,443,tcp,11798.13562,12,6021,0,13.5,0.566191679,13.4055245,1.167295197,0.859108,2.713534707,533,0,11.66666667,0.274347643,12,0,12,12,0,0,0,1,12,0,12,0,12,11,12,0,0,0,0,0
0,10.0.2.15,54.239.17.112,443,tcp,10381.12267,2,5056,0,12,0,7.9002025,0.55089275,1812.291594,0,371,8,10,0,2,0,2,2,0,0,0,0,2,0,2,0,2,2,2,0,0,0,0,0
0,10.0.2.15,52.87.134.114,443,tcp,11513.80656,2,4860,54.5,13.5,0.25,10.0397535,1.88817775,0.046379,0,635,141.5,12,0.5,2,0,2,2,0,0,0,1,2,0,2,0,2,2,2,0,0,1,0,0
0,10.0.2.15,104.25.87.24,80,tcp,6799.722719,1,495,0,17,0,121.01039,0,0,0,305,0,16,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,104.20.25.11,80,tcp,10729.82308,1,491,0,17,0,120.573896,0,0,0,394,0,17,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,216.137.61.65,80,tcp,11311.22973,3,23340,2284,35.66666667,2.055555556,120.706064,0.004035333,0.008101,0.006486,270,0,24,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
0,10.0.2.15,216.239.32.27,443,tcp,6511.620226,1,18419,0,38,0,223.88488,0,0,0,969,0,27,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
0,10.0.2.15,54.192.93.49,80,tcp,6222.739781,9,5503.111111,4359.543739,15,7.104100529,70.38663578,40.09551381,323.7993184,553.3085016,445.2222222,259.4436067,13.11111111,5.044532628,9,0,7,9,0,0,0,1,9,0,9,0,7,8,9,0,0,0,0,0
